"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 24 16:17:23 IST 2022","Mon Oct 24 16:17:30 IST 2022","6623","","Find a game provider","","","","Verify whether the game provider is selected",""
"passed","Mon Oct 24 16:17:08 IST 2022","Mon Oct 24 16:17:13 IST 2022","5429","","Validate the hub88 home page","","","","Verify whether the hub88 logo is displayed on the home page",""
